nombre,primero,puntos,puntos_maximos,share,award,año,Clave Join
"James,LeBron",116.0,1205.0,1230,0.980,Most Valuable Player,2010,LeBronJames
"Durant,Kevin",4.0,609.0,1230,0.495,Most Valuable Player,2010,KevinDurant
"Bryant,Kobe",0.0,599.0,1230,0.487,Most Valuable Player,2010,KobeBryant
"Howard,Dwight",3.0,478.0,1230,0.389,Most Valuable Player,2010,DwightHoward
"Wade,Dwyane",0.0,119.0,1230,0.097,Most Valuable Player,2010,DwyaneWade
"Anthony,Carmelo",0.0,65.0,1230,0.053,Most Valuable Player,2010,CarmeloAnthony
"Nowitzki,Dirk",0.0,55.0,1230,0.045,Most Valuable Player,2010,DirkNowitzki
"Nash,Steve",0.0,49.0,1230,0.040,Most Valuable Player,2010,SteveNash
"Williams,Deron",0.0,7.0,1230,0.006,Most Valuable Player,2010,DeronWilliams
"Stoudemire,Amar'e",0.0,5.0,1230,0.004,Most Valuable Player,2010,AmareStoudemire
"Ginóbili,Manu",0.0,3.0,1230,0.002,Most Valuable Player,2010,ManuGinobili
"Billups,Chauncey",0.0,1.0,1230,0.001,Most Valuable Player,2010,ChaunceyBillups
"Bosh,Chris",0.0,1.0,1230,0.001,Most Valuable Player,2010,ChrisBosh
"Jackson,Stephen",0.0,1.0,1230,0.001,Most Valuable Player,2010,StephenJackson
"Johnson,Joe",0.0,1.0,1230,0.001,Most Valuable Player,2010,JoeJohnson
"Evans,Tyreke",67.0,491.0,615,0.798,Rookie of the Year,2010,TyrekeEvans
"Curry,Stephen",43.0,391.0,615,0.636,Rookie of the Year,2010,StephenCurry
"Jennings,Brandon",12.0,204.0,615,0.332,Rookie of the Year,2010,BrandonJennings
"Collison,Darren",1.0,17.0,615,0.028,Rookie of the Year,2010,DarrenCollison
"Flynn,Jonny",0.0,2.0,615,0.003,Rookie of the Year,2010,JonnyFlynn
"Gibson,Taj",0.0,2.0,615,0.003,Rookie of the Year,2010,TajGibson
"Howard,Dwight",110.0,576.0,610,0.944,Defensive Player of the Year,2010,DwightHoward
"Smith,Josh",3.0,136.0,610,0.223,Defensive Player of the Year,2010,JoshSmith
"Wallace,Gerald",1.0,113.0,610,0.185,Defensive Player of the Year,2010,GeraldWallace
"James,LeBron",4.0,61.0,610,0.100,Defensive Player of the Year,2010,LeBronJames
"Rondo,Rajon",1.0,55.0,610,0.090,Defensive Player of the Year,2010,RajonRondo
"World Peace,Metta",0.0,29.0,610,0.048,Defensive Player of the Year,2010,MettaWorldPeace
"Bogut,Andrew",1.0,23.0,610,0.038,Defensive Player of the Year,2010,AndrewBogut
"Sefolosha,Thabo",2.0,20.0,610,0.033,Defensive Player of the Year,2010,ThaboSefolosha
"Varejão,Anderson",0.0,18.0,610,0.030,Defensive Player of the Year,2010,AndersonVarejao
"Camby,Marcus",0.0,13.0,610,0.021,Defensive Player of the Year,2010,MarcusCamby
"Wade,Dwyane",0.0,13.0,610,0.021,Defensive Player of the Year,2010,DwyaneWade
"Bryant,Kobe",0.0,9.0,610,0.015,Defensive Player of the Year,2010,KobeBryant
"Marion,Shawn",0.0,8.0,610,0.013,Defensive Player of the Year,2010,ShawnMarion
"Duncan,Tim",0.0,7.0,610,0.011,Defensive Player of the Year,2010,TimDuncan
"Battier,Shane",0.0,5.0,610,0.008,Defensive Player of the Year,2010,ShaneBattier
"Kirilenko,Andrei",0.0,4.0,610,0.007,Defensive Player of the Year,2010,AndreiKirilenko
"Afflalo,Arron",0.0,1.0,610,0.002,Defensive Player of the Year,2010,ArronAfflalo
"Barnes,Matt",0.0,1.0,610,0.002,Defensive Player of the Year,2010,MattBarnes
"Haywood,Brendan",0.0,1.0,610,0.002,Defensive Player of the Year,2010,BrendanHaywood
"Lee,David",0.0,1.0,610,0.002,Defensive Player of the Year,2010,DavidLee
"Martin,Kenyon",0.0,1.0,610,0.002,Defensive Player of the Year,2010,KenyonMartin
"Mbah a Moute,Luc",0.0,1.0,610,0.002,Defensive Player of the Year,2010,LucMbahaMoute
"Perkins,Kendrick",0.0,1.0,610,0.002,Defensive Player of the Year,2010,KendrickPerkins
"Wallace,Ben",0.0,1.0,610,0.002,Defensive Player of the Year,2010,BenWallace
"Crawford,Jamal",110.0,580.0,610,0.951,Sixth Man of the Year,2010,JamalCrawford
"Terry,Jason",6.0,220.0,610,0.361,Sixth Man of the Year,2010,JasonTerry
"Varejão,Anderson",2.0,126.0,610,0.207,Sixth Man of the Year,2010,AndersonVarejao
"Ginóbili,Manu",2.0,75.0,610,0.123,Sixth Man of the Year,2010,ManuGinobili
"Smith,J.R.",0.0,33.0,610,0.054,Sixth Man of the Year,2010,JRSmith
"Odom,Lamar",1.0,25.0,610,0.041,Sixth Man of the Year,2010,LamarOdom
"Millsap,Paul",1.0,15.0,610,0.025,Sixth Man of the Year,2010,PaulMillsap
"Landry,Carl",0.0,12.0,610,0.020,Sixth Man of the Year,2010,CarlLandry
"Haslem,Udonis",0.0,5.0,610,0.008,Sixth Man of the Year,2010,UdonisHaslem
"Thornton,Marcus",0.0,3.0,610,0.005,Sixth Man of the Year,2010,MarcusThornton
"Dudley,Jared",0.0,1.0,610,0.002,Sixth Man of the Year,2010,JaredDudley
"Harrington,Al",0.0,1.0,610,0.002,Sixth Man of the Year,2010,AlHarrington
"Love,Kevin",0.0,1.0,610,0.002,Sixth Man of the Year,2010,KevinLove
"Lowry,Kyle",0.0,1.0,610,0.002,Sixth Man of the Year,2010,KyleLowry
"Brooks,Aaron",62.0,403.0,615,0.655,Most Improved Player,2010,AaronBrooks
"Durant,Kevin",17.0,101.0,615,0.164,Most Improved Player,2010,KevinDurant
"Gasol,Marc",9.0,101.0,615,0.164,Most Improved Player,2010,MarcGasol
"Hill,George",7.0,101.0,615,0.164,Most Improved Player,2010,GeorgeHill
"Bogut,Andrew",7.0,93.0,615,0.151,Most Improved Player,2010,AndrewBogut
"Westbrook,Russell",5.0,67.0,615,0.109,Most Improved Player,2010,RussellWestbrook
"Noah,Joakim",7.0,64.0,615,0.104,Most Improved Player,2010,JoakimNoah
"Wallace,Gerald",3.0,29.0,615,0.047,Most Improved Player,2010,GeraldWallace
"Lopez,Brook",1.0,19.0,615,0.031,Most Improved Player,2010,BrookLopez
"Brewer,Corey",0.0,19.0,615,0.031,Most Improved Player,2010,CoreyBrewer
"Landry,Carl",0.0,18.0,615,0.029,Most Improved Player,2010,CarlLandry
"Rondo,Rajon",2.0,12.0,615,0.020,Most Improved Player,2010,RajonRondo
"Blatche,Andray",1.0,12.0,615,0.020,Most Improved Player,2010,AndrayBlatche
"Frye,Channing",1.0,10.0,615,0.016,Most Improved Player,2010,ChanningFrye
"Gallinari,Danilo",0.0,10.0,615,0.016,Most Improved Player,2010,DaniloGallinari
"Smith,Josh",0.0,8.0,615,0.013,Most Improved Player,2010,JoshSmith
"Lee,David",0.0,7.0,615,0.011,Most Improved Player,2010,DavidLee
"Howard,Dwight",1.0,5.0,615,0.008,Most Improved Player,2010,DwightHoward
"İlyasova,Ersan",0.0,4.0,615,0.007,Most Improved Player,2010,ErsanIlyasova
"Kaman,Chris",0.0,4.0,615,0.007,Most Improved Player,2010,ChrisKaman
"Redick,J.J.",0.0,4.0,615,0.007,Most Improved Player,2010,JJRedick
"Douglas-Roberts,Chris",0.0,3.0,615,0.005,Most Improved Player,2010,ChrisDouglasRoberts
"Hilário,Nenê",0.0,3.0,615,0.005,Most Improved Player,2010,NeneHilario
"Millsap,Paul",0.0,3.0,615,0.005,Most Improved Player,2010,PaulMillsap
"Lopez,Robin",0.0,2.0,615,0.003,Most Improved Player,2010,RobinLopez
"Ellis,Monta",0.0,1.0,615,0.002,Most Improved Player,2010,MontaEllis
"Hickson,J.J.",0.0,1.0,615,0.002,Most Improved Player,2010,JJHickson
"Randolph,Zach",0.0,1.0,615,0.002,Most Improved Player,2010,ZachRandolph
"Salmons,John",0.0,1.0,615,0.002,Most Improved Player,2010,JohnSalmons
"Wallace,Ben",0.0,1.0,615,0.002,Most Improved Player,2010,BenWallace
"Rose,Derrick",113.0,1182.0,1210,0.977,Most Valuable Player,2011,DerrickRose
"Howard,Dwight",3.0,643.0,1210,0.531,Most Valuable Player,2011,DwightHoward
"James,LeBron",4.0,522.0,1210,0.431,Most Valuable Player,2011,LeBronJames
"Bryant,Kobe",1.0,428.0,1210,0.354,Most Valuable Player,2011,KobeBryant
"Durant,Kevin",0.0,190.0,1210,0.157,Most Valuable Player,2011,KevinDurant
"Nowitzki,Dirk",0.0,113.0,1210,0.093,Most Valuable Player,2011,DirkNowitzki
"Wade,Dwyane",0.0,24.0,1210,0.020,Most Valuable Player,2011,DwyaneWade
"Gin�bili,Manu",0.0,20.0,1210,0.017,Most Valuable Player,2011,ManuGinbili
"Stoudemire,Amar'e",0.0,9.0,1210,0.007,Most Valuable Player,2011,AmareStoudemire
"Griffin,Blake",0.0,5.0,1210,0.004,Most Valuable Player,2011,BlakeGriffin
"Rondo,Rajon",0.0,5.0,1210,0.004,Most Valuable Player,2011,RajonRondo
"Parker,Tony",0.0,3.0,1210,0.002,Most Valuable Player,2011,TonyParker
"Paul,Chris",0.0,2.0,1210,0.002,Most Valuable Player,2011,ChrisPaul
"Griffin,Blake",118.0,590.0,590,1.000,Rookie of the Year,2011,BlakeGriffin
"Wall,John",0.0,295.0,590,0.500,Rookie of the Year,2011,JohnWall
"Cousins,DeMarcus",0.0,81.0,590,0.137,Rookie of the Year,2011,DeMarcusCousins
"Fields,Landry",0.0,62.0,590,0.105,Rookie of the Year,2011,LandryFields
"Neal,Gary",0.0,19.0,590,0.032,Rookie of the Year,2011,GaryNeal
"Monroe,Greg",0.0,15.0,590,0.025,Rookie of the Year,2011,GregMonroe
"Howard,Dwight",114.0,585.0,600,0.975,Defensive Player of the Year,2011,DwightHoward
"Garnett,Kevin",1.0,77.0,600,0.128,Defensive Player of the Year,2011,KevinGarnett
"Chandler,Tyson",0.0,70.0,600,0.117,Defensive Player of the Year,2011,TysonChandler
"Allen,Tony",0.0,53.0,600,0.088,Defensive Player of the Year,2011,TonyAllen
"Rondo,Rajon",0.0,45.0,600,0.075,Defensive Player of the Year,2011,RajonRondo
"Bogut,Andrew",0.0,32.0,600,0.053,Defensive Player of the Year,2011,AndrewBogut
"Hill,Grant",1.0,30.0,600,0.050,Defensive Player of the Year,2011,GrantHill
"Iguodala,Andre",0.0,29.0,600,0.048,Defensive Player of the Year,2011,AndreIguodala
"James,LeBron",0.0,25.0,600,0.042,Defensive Player of the Year,2011,LeBronJames
"Deng,Luol",0.0,24.0,600,0.040,Defensive Player of the Year,2011,LuolDeng
"Bryant,Kobe",0.0,18.0,600,0.030,Defensive Player of the Year,2011,KobeBryant
"Hayes,Chuck",2.0,13.0,600,0.022,Defensive Player of the Year,2011,ChuckHayes
"Paul,Chris",0.0,13.0,600,0.022,Defensive Player of the Year,2011,ChrisPaul
"Ibaka,Serge",0.0,12.0,600,0.020,Defensive Player of the Year,2011,SergeIbaka
"Noah,Joakim",1.0,11.0,600,0.018,Defensive Player of the Year,2011,JoakimNoah
"Wade,Dwyane",0.0,8.0,600,0.013,Defensive Player of the Year,2011,DwyaneWade
"Duncan,Tim",0.0,7.0,600,0.012,Defensive Player of the Year,2011,TimDuncan
"World Peace,Metta",0.0,6.0,600,0.010,Defensive Player of the Year,2011,MettaWorldPeace
"Bogans,Keith",1.0,5.0,600,0.008,Defensive Player of the Year,2011,KeithBogans
"McGee,JaVale",0.0,5.0,600,0.008,Defensive Player of the Year,2011,JaValeMcGee
"Sefolosha,Thabo",0.0,4.0,600,0.007,Defensive Player of the Year,2011,ThaboSefolosha
"Bynum,Andrew",0.0,3.0,600,0.005,Defensive Player of the Year,2011,AndrewBynum
"Martin,Kenyon",0.0,2.0,600,0.003,Defensive Player of the Year,2011,KenyonMartin
"Wallace,Gerald",0.0,2.0,600,0.003,Defensive Player of the Year,2011,GeraldWallace
"Smith,Josh",0.0,1.0,600,0.002,Defensive Player of the Year,2011,JoshSmith
"Odom,Lamar",96.0,513.0,585,0.877,Sixth Man of the Year,2011,LamarOdom
"Terry,Jason",13.0,244.0,585,0.417,Sixth Man of the Year,2011,JasonTerry
"Young,Thaddeus",2.0,76.0,585,0.130,Sixth Man of the Year,2011,ThaddeusYoung
"Davis,Glen",0.0,75.0,585,0.128,Sixth Man of the Year,2011,GlenDavis
"Crawford,Jamal",5.0,51.0,585,0.087,Sixth Man of the Year,2011,JamalCrawford
"Williams,Lou",1.0,26.0,585,0.044,Sixth Man of the Year,2011,LouWilliams
"Harden,James",0.0,19.0,585,0.032,Sixth Man of the Year,2011,JamesHarden
"Hill,George",0.0,18.0,585,0.031,Sixth Man of the Year,2011,GeorgeHill
"Gortat,Marcin",0.0,11.0,585,0.019,Sixth Man of the Year,2011,MarcinGortat
"Smith,J.R.",0.0,7.0,585,0.012,Sixth Man of the Year,2011,JRSmith
"Allen,Tony",0.0,3.0,585,0.005,Sixth Man of the Year,2011,TonyAllen
"Lawson,Ty",0.0,3.0,585,0.005,Sixth Man of the Year,2011,TyLawson
"Mayo,O.J.",0.0,3.0,585,0.005,Sixth Man of the Year,2011,OJMayo
"Douglas,Toney",0.0,2.0,585,0.003,Sixth Man of the Year,2011,ToneyDouglas
"Bonner,Matt",0.0,1.0,585,0.002,Sixth Man of the Year,2011,MattBonner
"Redick,J.J.",0.0,1.0,585,0.002,Sixth Man of the Year,2011,JJRedick
"Love,Kevin",66.0,400.0,580,0.690,Most Improved Player,2011,KevinLove
"Aldridge,LaMarcus",11.0,157.0,580,0.271,Most Improved Player,2011,LaMarcusAldridge
"Wright,Dorell",16.0,124.0,580,0.214,Most Improved Player,2011,DorellWright
"Rose,Derrick",11.0,69.0,580,0.119,Most Improved Player,2011,DerrickRose
"Humphries,Kris",1.0,63.0,580,0.109,Most Improved Player,2011,KrisHumphries
"Lowry,Kyle",3.0,48.0,580,0.083,Most Improved Player,2011,KyleLowry
"Westbrook,Russell",3.0,46.0,580,0.079,Most Improved Player,2011,RussellWestbrook
"Matthews,Wesley",2.0,32.0,580,0.055,Most Improved Player,2011,WesleyMatthews
"Holiday,Jrue",1.0,15.0,580,0.026,Most Improved Player,2011,ueHoliday
"Conley,Mike",0.0,14.0,580,0.024,Most Improved Player,2011,MikeConley
"Afflalo,Arron",0.0,13.0,580,0.022,Most Improved Player,2011,ArronAfflalo
"Hibbert,Roy",1.0,9.0,580,0.016,Most Improved Player,2011,RoyHibbert
"DeRozan,DeMar",1.0,6.0,580,0.010,Most Improved Player,2011,DeMarDeRozan
"Gordon,Eric",0.0,5.0,580,0.009,Most Improved Player,2011,EricGordon
"Hansbrough,Tyler",0.0,5.0,580,0.009,Most Improved Player,2011,TylerHansbrough
"Young,Nick",0.0,5.0,580,0.009,Most Improved Player,2011,NickYoung
"Arthur,Darrell",0.0,4.0,580,0.007,Most Improved Player,2011,DarrellArthur
"Ibaka,Serge",0.0,4.0,580,0.007,Most Improved Player,2011,SergeIbaka
"Jordan,DeAndre",0.0,4.0,580,0.007,Most Improved Player,2011,DeAndreJordan
"Young,Thaddeus",0.0,4.0,580,0.007,Most Improved Player,2011,ThaddeusYoung
"Augustin,D.J.",0.0,3.0,580,0.005,Most Improved Player,2011,DJAugustin
"Deng,Luol",0.0,3.0,580,0.005,Most Improved Player,2011,LuolDeng
"Stoudemire,Amar'e",0.0,3.0,580,0.005,Most Improved Player,2011,AmareStoudemire
"Allen,Tony",0.0,1.0,580,0.002,Most Improved Player,2011,TonyAllen
"Beasley,Michael",0.0,1.0,580,0.002,Most Improved Player,2011,MichaelBeasley
"Brand,Elton",0.0,1.0,580,0.002,Most Improved Player,2011,EltonBrand
"Chandler,Tyson",0.0,1.0,580,0.002,Most Improved Player,2011,TysonChandler
"Dudley,Jared",0.0,1.0,580,0.002,Most Improved Player,2011,JaredDudley
"Gortat,Marcin",0.0,1.0,580,0.002,Most Improved Player,2011,MarcinGortat
"Harden,James",0.0,1.0,580,0.002,Most Improved Player,2011,JamesHarden
"Meeks,Jodie",0.0,1.0,580,0.002,Most Improved Player,2011,JodieMeeks
"James,LeBron",85.0,1074.0,1210,0.888,Most Valuable Player,2012,LeBronJames
"Durant,Kevin",24.0,889.0,1210,0.735,Most Valuable Player,2012,KevinDurant
"Paul,Chris",6.0,385.0,1210,0.318,Most Valuable Player,2012,ChrisPaul
"Bryant,Kobe",2.0,352.0,1210,0.291,Most Valuable Player,2012,KobeBryant
"Parker,Tony",4.0,331.0,1210,0.274,Most Valuable Player,2012,TonyParker
"Love,Kevin",0.0,58.0,1210,0.048,Most Valuable Player,2012,KevinLove
"Howard,Dwight",0.0,13.0,1210,0.011,Most Valuable Player,2012,DwightHoward
"Rondo,Rajon",0.0,12.0,1210,0.010,Most Valuable Player,2012,RajonRondo
"Nash,Steve",0.0,7.0,1210,0.006,Most Valuable Player,2012,SteveNash
"Wade,Dwyane",0.0,6.0,1210,0.005,Most Valuable Player,2012,DwyaneWade
"Rose,Derrick",0.0,5.0,1210,0.004,Most Valuable Player,2012,DerrickRose
"Nowitzki,Dirk",0.0,4.0,1210,0.003,Most Valuable Player,2012,DirkNowitzki
"Westbrook,Russell",0.0,4.0,1210,0.003,Most Valuable Player,2012,RussellWestbrook
"Duncan,Tim",0.0,3.0,1210,0.002,Most Valuable Player,2012,TimDuncan
"Johnson,Joe",0.0,1.0,1210,0.001,Most Valuable Player,2012,JoeJohnson
"Irving,Kyrie",117.0,592.0,600,0.987,Rookie of the Year,2012,KyrieIrving
"Rubio,Ricky",0.0,170.0,600,0.283,Rookie of the Year,2012,RickyRubio
"Faried,Kenneth",1.0,129.0,600,0.215,Rookie of the Year,2012,KennethFaried
"Leonard,Kawhi",1.0,47.0,600,0.078,Rookie of the Year,2012,KawhiLeonard
"Shumpert,Iman",1.0,33.0,600,0.055,Rookie of the Year,2012,ImanShumpert
"Thompson,Klay",0.0,30.0,600,0.050,Rookie of the Year,2012,KlayThompson
"Thomas,Isaiah",0.0,28.0,600,0.047,Rookie of the Year,2012,IsaiahThomas
"Knight,Brandon",0.0,21.0,600,0.035,Rookie of the Year,2012,BrandonKnight
"Parsons,Chandler",0.0,14.0,600,0.023,Rookie of the Year,2012,ChandlerParsons
"Brooks,MarShon",0.0,4.0,600,0.007,Rookie of the Year,2012,MarShonBrooks
"Walker,Kemba",0.0,3.0,600,0.005,Rookie of the Year,2012,KembaWalker
"Selby,Josh",0.0,1.0,600,0.002,Rookie of the Year,2012,JoshSelby
"Chandler,Tyson",45.0,311.0,605,0.514,Defensive Player of the Year,2012,TysonChandler
"Ibaka,Serge",41.0,294.0,605,0.486,Defensive Player of the Year,2012,SergeIbaka
"Howard,Dwight",18.0,186.0,605,0.307,Defensive Player of the Year,2012,DwightHoward
"James,LeBron",7.0,112.0,605,0.185,Defensive Player of the Year,2012,LeBronJames
"Garnett,Kevin",2.0,44.0,605,0.073,Defensive Player of the Year,2012,KevinGarnett
"Allen,Tony",4.0,36.0,605,0.060,Defensive Player of the Year,2012,TonyAllen
"Iguodala,Andre",1.0,33.0,605,0.055,Defensive Player of the Year,2012,AndreIguodala
"Marion,Shawn",2.0,17.0,605,0.028,Defensive Player of the Year,2012,ShawnMarion
"Deng,Luol",1.0,16.0,605,0.026,Defensive Player of the Year,2012,LuolDeng
"Smith,Josh",0.0,9.0,605,0.015,Defensive Player of the Year,2012,JoshSmith
"Noah,Joakim",0.0,6.0,605,0.010,Defensive Player of the Year,2012,JoakimNoah
"Gasol,Marc",0.0,5.0,605,0.008,Defensive Player of the Year,2012,MarcGasol
"Paul,Chris",0.0,5.0,605,0.008,Defensive Player of the Year,2012,ChrisPaul
"Bradley,Avery",0.0,2.0,605,0.003,Defensive Player of the Year,2012,AveryBradley
"Conley,Mike",0.0,2.0,605,0.003,Defensive Player of the Year,2012,MikeConley
"Hill,Grant",0.0,2.0,605,0.003,Defensive Player of the Year,2012,GrantHill
"Shumpert,Iman",0.0,2.0,605,0.003,Defensive Player of the Year,2012,ImanShumpert
"Monroe,Greg",0.0,1.0,605,0.002,Defensive Player of the Year,2012,GregMonroe
"Wade,Dwyane",0.0,1.0,605,0.002,Defensive Player of the Year,2012,DwyaneWade
"Westbrook,Russell",0.0,1.0,605,0.002,Defensive Player of the Year,2012,RussellWestbrook
"Harden,James",115.0,584.0,595,0.982,Sixth Man of the Year,2012,JamesHarden
"Williams,Lou",3.0,231.0,595,0.388,Sixth Man of the Year,2012,LouWilliams
"Terry,Jason",0.0,81.0,595,0.136,Sixth Man of the Year,2012,JasonTerry
"Harrington,Al",0.0,42.0,595,0.071,Sixth Man of the Year,2012,AlHarrington
"Gibson,Taj",1.0,28.0,595,0.047,Sixth Man of the Year,2012,TajGibson
"Ginóbili,Manu",0.0,28.0,595,0.047,Sixth Man of the Year,2012,ManuGinobili
"Mayo,O.J.",0.0,18.0,595,0.030,Sixth Man of the Year,2012,OJMayo
"Williams,Mo",0.0,14.0,595,0.024,Sixth Man of the Year,2012,MoWilliams
"Young,Thaddeus",0.0,10.0,595,0.017,Sixth Man of the Year,2012,ThaddeusYoung
"Korver,Kyle",0.0,4.0,595,0.007,Sixth Man of the Year,2012,KyleKorver
"Crawford,Jamal",0.0,3.0,595,0.005,Sixth Man of the Year,2012,JamalCrawford
"Landry,Carl",0.0,3.0,595,0.005,Sixth Man of the Year,2012,CarlLandry
"Randolph,Zach",0.0,3.0,595,0.005,Sixth Man of the Year,2012,ZachRandolph
"Watson,C.J.",0.0,3.0,595,0.005,Sixth Man of the Year,2012,CJWatson
"Dunleavy,Mike",0.0,2.0,595,0.003,Sixth Man of the Year,2012,MikeDunleavy
"Hansbrough,Tyler",0.0,2.0,595,0.003,Sixth Man of the Year,2012,TylerHansbrough
"Neal,Gary",0.0,2.0,595,0.003,Sixth Man of the Year,2012,GaryNeal
"Hill,George",0.0,1.0,595,0.002,Sixth Man of the Year,2012,GeorgeHill
"Miller,Andre",0.0,1.0,595,0.002,Sixth Man of the Year,2012,AndreMiller
"Smith,J.R.",0.0,1.0,595,0.002,Sixth Man of the Year,2012,JRSmith
"Anderson,Ryan",33.0,260.0,605,0.430,Most Improved Player,2012,RyanAnderson
"İlyasova,Ersan",21.0,159.0,605,0.263,Most Improved Player,2012,ErsanIlyasova
"Peković,Nikola",10.0,104.0,605,0.172,Most Improved Player,2012,NikolaPekovic
"Bynum,Andrew",14.0,101.0,605,0.167,Most Improved Player,2012,AndrewBynum
"Monroe,Greg",10.0,96.0,605,0.159,Most Improved Player,2012,GregMonroe
"Lin,Jeremy",10.0,91.0,605,0.150,Most Improved Player,2012,JeremyLin
"Dragić,Goran",4.0,54.0,605,0.089,Most Improved Player,2012,GoranDragic
"Bradley,Avery",4.0,36.0,605,0.060,Most Improved Player,2012,AveryBradley
"Green,Danny",3.0,27.0,605,0.045,Most Improved Player,2012,DannyGreen
"Teague,Jeff",1.0,27.0,605,0.045,Most Improved Player,2012,JeffTeague
"Ibaka,Serge",2.0,16.0,605,0.026,Most Improved Player,2012,SergeIbaka
"Lawson,Ty",1.0,16.0,605,0.026,Most Improved Player,2012,TyLawson
"George,Paul",2.0,13.0,605,0.021,Most Improved Player,2012,PaulGeorge
"Novak,Steve",1.0,12.0,605,0.020,Most Improved Player,2012,SteveNovak
"Cousins,DeMarcus",0.0,11.0,605,0.018,Most Improved Player,2012,DeMarcusCousins
"Love,Kevin",1.0,8.0,605,0.013,Most Improved Player,2012,KevinLove
"Harden,James",0.0,7.0,605,0.012,Most Improved Player,2012,JamesHarden
"Hibbert,Roy",0.0,7.0,605,0.012,Most Improved Player,2012,RoyHibbert
"Gortat,Marcin",1.0,6.0,605,0.010,Most Improved Player,2012,MarcinGortat
"Henderson,Gerald",1.0,6.0,605,0.010,Most Improved Player,2012,GeraldHenderson
"Gasol,Marc",1.0,5.0,605,0.008,Most Improved Player,2012,MarcGasol
"Lowry,Kyle",1.0,5.0,605,0.008,Most Improved Player,2012,KyleLowry
"Hayward,Gordon",0.0,4.0,605,0.007,Most Improved Player,2012,GordonHayward
"Afflalo,Arron",0.0,3.0,605,0.005,Most Improved Player,2012,ArronAfflalo
"Parker,Tony",0.0,3.0,605,0.005,Most Improved Player,2012,TonyParker
"Watson,C.J.",0.0,3.0,605,0.005,Most Improved Player,2012,CJWatson
"Wright,Brandan",0.0,3.0,605,0.005,Most Improved Player,2012,BrandanWright
"Jack,Jarrett",0.0,1.0,605,0.002,Most Improved Player,2012,JarrettJack
"Speights,Marreese",0.0,1.0,605,0.002,Most Improved Player,2012,MarreeseSpeights
"James,LeBron",120.0,1207.0,1210,0.998,Most Valuable Player,2013,LeBronJames
"Durant,Kevin",0.0,765.0,1210,0.632,Most Valuable Player,2013,KevinDurant
"Anthony,Carmelo",1.0,475.0,1210,0.393,Most Valuable Player,2013,CarmeloAnthony
"Paul,Chris",0.0,289.0,1210,0.239,Most Valuable Player,2013,ChrisPaul
"Bryant,Kobe",0.0,184.0,1210,0.152,Most Valuable Player,2013,KobeBryant
"Parker,Tony",0.0,86.0,1210,0.071,Most Valuable Player,2013,TonyParker
