Equipo A,Equipo B,Distancia
Cleveland Cavaliers,New York Knicks,649
Cleveland Cavaliers,Denver Nuggets,1967
Cleveland Cavaliers,Golden State Warriors,3461
Cleveland Cavaliers,Dallas Mavericks,1647
Cleveland Cavaliers,New Jersey Nets,655
Cleveland Cavaliers,Charlotte Bobcats,700
Cleveland Cavaliers,Memphis Grizzlies,1018
Cleveland Cavaliers,San Antonio Spurs,2020
Cleveland Cavaliers,New Orleans Hornets,1486
Cleveland Cavaliers,Oklahoma City Thunder,1526
Cleveland Cavaliers,Orlando Magic,1440
Cleveland Cavaliers,Washington Wizards,490
Cleveland Cavaliers,Boston Celtics,883
Cleveland Cavaliers,Portland Trail Blazers,3294
Cleveland Cavaliers,Los Angeles Lakers,3286
Cleveland Cavaliers,Sacramento Kings,3369
Cleveland Cavaliers,Indiana Pacers,422
Cleveland Cavaliers,Phoenix Suns,2806
Cleveland Cavaliers,Utah Jazz,2514
Cleveland Cavaliers,Houston Rockets,1790
Cleveland Cavaliers,Toronto Raptors,307
Cleveland Cavaliers,Miami Heat,1752
Cleveland Cavaliers,Los Angeles Clippers,3286
Cleveland Cavaliers,Atlanta Hawks,893
Cleveland Cavaliers,Milwaukee Bucks,538
Cleveland Cavaliers,Brooklyn Nets,655
Cleveland Cavaliers,New Orleans Pelicans,1486
Cleveland Cavaliers,Charlotte Hornets,700
Boston Celtics,Philadelphia 76ers,426
Boston Celtics,Detroit Pistons,983
Boston Celtics,Chicago Bulls,1366
Boston Celtics,Minnesota Timberwolves,1801
Boston Celtics,New York Knicks,305
Boston Celtics,Denver Nuggets,2837
Boston Celtics,Golden State Warriors,4315
Boston Celtics,Dallas Mavericks,2490
Boston Celtics,New Jersey Nets,306
Boston Celtics,Charlotte Bobcats,1158
Boston Celtics,Memphis Grizzlies,1828
Boston Celtics,San Antonio Spurs,2837
Boston Celtics,New Orleans Hornets,2183
Boston Celtics,Oklahoma City Thunder,2399
Boston Celtics,Orlando Magic,1793
Boston Celtics,Washington Wizards,633
Boston Celtics,Cleveland Cavaliers,883
Boston Celtics,Portland Trail Blazers,4071
Boston Celtics,Los Angeles Lakers,4164
Boston Celtics,Sacramento Kings,4219
Boston Celtics,Indiana Pacers,1295
Boston Celtics,Phoenix Suns,3689
Boston Celtics,Utah Jazz,3365
Boston Celtics,Houston Rockets,2577
Boston Celtics,Toronto Raptors,694
Boston Celtics,Miami Heat,2021
Boston Celtics,Los Angeles Clippers,4164
Boston Celtics,Atlanta Hawks,1504
Boston Celtics,Milwaukee Bucks,1375
Boston Celtics,Brooklyn Nets,306
Boston Celtics,New Orleans Pelicans,2183
Boston Celtics,Charlotte Hornets,1158
Portland Trail Blazers,Philadelphia 76ers,1210
Portland Trail Blazers,Detroit Pistons,3157
Portland Trail Blazers,Chicago Bulls,2819
Portland Trail Blazers,Minnesota Timberwolves,2287
Portland Trail Blazers,New York Knicks,3920
Portland Trail Blazers,Denver Nuggets,1577
Portland Trail Blazers,Golden State Warriors,858
Portland Trail Blazers,Dallas Mavericks,2621
Portland Trail Blazers,New Jersey Nets,3927
Portland Trail Blazers,Charlotte Bobcats,3672
Portland Trail Blazers,Memphis Grizzlies,2970
Portland Trail Blazers,San Antonio Spurs,2762
Portland Trail Blazers,New Orleans Hornets,3310
Portland Trail Blazers,Oklahoma City Thunder,2386
Portland Trail Blazers,Orlando Magic,4059
Portland Trail Blazers,Washington Wizards,3773
Portland Trail Blazers,Cleveland Cavaliers,3294
Portland Trail Blazers,Boston Celtics,4071
Portland Trail Blazers,Los Angeles Lakers,1328
Portland Trail Blazers,Sacramento Kings,777
Portland Trail Blazers,Indiana Pacers,3023
Portland Trail Blazers,Phoenix Suns,1617
Portland Trail Blazers,Utah Jazz,1020
Portland Trail Blazers,Houston Rockets,2947
Portland Trail Blazers,Toronto Raptors,3384
Portland Trail Blazers,Miami Heat,4347
Portland Trail Blazers,Los Angeles Clippers,1328
Portland Trail Blazers,Atlanta Hawks,3486
Portland Trail Blazers,Milwaukee Bucks,2756
Portland Trail Blazers,Brooklyn Nets,3927
Portland Trail Blazers,New Orleans Pelicans,3310
Portland Trail Blazers,Charlotte Hornets,3672
Los Angeles Lakers,Philadelphia 76ers,4006
Los Angeles Lakers,Detroit Pistons,3181
Los Angeles Lakers,Chicago Bulls,2798
Los Angeles Lakers,Minnesota Timberwolves,2445
Los Angeles Lakers,New York Knicks,3930
Los Angeles Lakers,Denver Nuggets,1334
Los Angeles Lakers,Golden State Warriors,552
Los Angeles Lakers,Dallas Mavericks,1988
Los Angeles Lakers,New Jersey Nets,3936
Los Angeles Lakers,Charlotte Bobcats,3399
Los Angeles Lakers,Memphis Grizzlies,2571
Los Angeles Lakers,San Antonio Spurs,1931
Los Angeles Lakers,New Orleans Hornets,2683
Los Angeles Lakers,Oklahoma City Thunder,1894
Los Angeles Lakers,Orlando Magic,3532
Los Angeles Lakers,Washington Wizards,3687
Los Angeles Lakers,Cleveland Cavaliers,3286
Los Angeles Lakers,Boston Celtics,4164
Los Angeles Lakers,Portland Trail Blazers,1328
Los Angeles Lakers,Sacramento Kings,581
Los Angeles Lakers,Indiana Pacers,2902
Los Angeles Lakers,Phoenix Suns,573
Los Angeles Lakers,Utah Jazz,932
Los Angeles Lakers,Houston Rockets,2204
Los Angeles Lakers,Toronto Raptors,3487
Los Angeles Lakers,Miami Heat,3753
Los Angeles Lakers,Atlanta Hawks,3106
Los Angeles Lakers,Milwaukee Bucks,2799
Los Angeles Lakers,Brooklyn Nets,3936
Los Angeles Lakers,New Orleans Pelicans,2683
Los Angeles Lakers,Charlotte Hornets,3399
Sacramento Kings,Philadelphia 76ers,3815
Sacramento Kings,Detroit Pistons,3247
Sacramento Kings,Chicago Bulls,2874
Sacramento Kings,Minnesota Timberwolves,2429
Sacramento Kings,New York Knicks,4018
Sacramento Kings,Denver Nuggets,1425
Sacramento Kings,Golden State Warriors,110
Sacramento Kings,Dallas Mavericks,2310
Sacramento Kings,New Jersey Nets,4024
Sacramento Kings,Charlotte Bobcats,3599
Sacramento Kings,Memphis Grizzlies,2807
Sacramento Kings,San Antonio Spurs,2340
Sacramento Kings,New Orleans Hornets,3021
Sacramento Kings,Oklahoma City Thunder,2147
Sacramento Kings,Orlando Magic,3842
Sacramento Kings,Washington Wizards,3812
Sacramento Kings,Cleveland Cavaliers,3369
Sacramento Kings,Boston Celtics,4219
Sacramento Kings,Portland Trail Blazers,777
Sacramento Kings,Los Angeles Lakers,581
Sacramento Kings,Indiana Pacers,3025
Sacramento Kings,Phoenix Suns,1019
Sacramento Kings,Utah Jazz,855
Sacramento Kings,Houston Rockets,2581
Sacramento Kings,Toronto Raptors,3526
Sacramento Kings,Miami Heat,4094
Sacramento Kings,Los Angeles Clippers,581
Sacramento Kings,Atlanta Hawks,3346
Sacramento Kings,Milwaukee Bucks,2846
Sacramento Kings,Brooklyn Nets,4024
Sacramento Kings,New Orleans Pelicans,3021
Sacramento Kings,Charlotte Hornets,3599
Indiana Pacers,Philadelphia 76ers,990
Indiana Pacers,Detroit Pistons,386
Indiana Pacers,Chicago Bulls,263
Indiana Pacers,Minnesota Timberwolves,821
Indiana Pacers,New York Knicks,1035
Indiana Pacers,Denver Nuggets,1604
Indiana Pacers,Golden State Warriors,3112
Indiana Pacers,Dallas Mavericks,1227
Indiana Pacers,New Jersey Nets,1039
Indiana Pacers,Charlotte Bobcats,688
Indiana Pacers,Memphis Grizzlies,623
Indiana Pacers,San Antonio Spurs,1607
Indiana Pacers,New Orleans Hornets,1146
Indiana Pacers,Oklahoma City Thunder,1106
Indiana Pacers,Orlando Magic,1322
Indiana Pacers,Washington Wizards,789
Indiana Pacers,Cleveland Cavaliers,422
Indiana Pacers,Boston Celtics,1295
Indiana Pacers,Portland Trail Blazers,3023
Indiana Pacers,Los Angeles Lakers,2902
Indiana Pacers,Sacramento Kings,3025
Indiana Pacers,Phoenix Suns,2405
Indiana Pacers,Utah Jazz,2175
Indiana Pacers,Houston Rockets,1391
Indiana Pacers,Toronto Raptors,709
Indiana Pacers,Miami Heat,1650
Indiana Pacers,Los Angeles Clippers,2902
Indiana Pacers,Atlanta Hawks,687
Indiana Pacers,Milwaukee Bucks,391
Indiana Pacers,Brooklyn Nets,1039
Indiana Pacers,New Orleans Pelicans,1146
Indiana Pacers,Charlotte Hornets,688
Phoenix Suns,Philadelphia 76ers,1010
Phoenix Suns,Detroit Pistons,2712
Phoenix Suns,Chicago Bulls,2331
Phoenix Suns,Minnesota Timberwolves,2055
Phoenix Suns,New York Knicks,3439
Phoenix Suns,Denver Nuggets,941
Phoenix Suns,Golden State Warriors,1039
Phoenix Suns,Dallas Mavericks,1421
Phoenix Suns,New Jersey Nets,3444
Phoenix Suns,Charlotte Bobcats,2859
Phoenix Suns,Memphis Grizzlies,2025
Phoenix Suns,San Antonio Spurs,1361
Phoenix Suns,New Orleans Hornets,2110
Phoenix Suns,Oklahoma City Thunder,1350
Phoenix Suns,Orlando Magic,2961
Phoenix Suns,Washington Wizards,3178
Phoenix Suns,Cleveland Cavaliers,2806
Phoenix Suns,Boston Celtics,3689
Phoenix Suns,Portland Trail Blazers,1617
Phoenix Suns,Los Angeles Lakers,573
Phoenix Suns,Sacramento Kings,1019
Phoenix Suns,Indiana Pacers,2405
Phoenix Suns,Utah Jazz,812
Phoenix Suns,Houston Rockets,1630
Phoenix Suns,Toronto Raptors,3031
Phoenix Suns,Miami Heat,3180
Phoenix Suns,Los Angeles Clippers,573
Phoenix Suns,Atlanta Hawks,2553
Phoenix Suns,Milwaukee Bucks,2350
Phoenix Suns,Brooklyn Nets,3444
Phoenix Suns,New Orleans Pelicans,2110
Phoenix Suns,Charlotte Hornets,2859
Utah Jazz,Philadelphia 76ers,2964
Utah Jazz,Detroit Pistons,2392
Utah Jazz,Chicago Bulls,2019
Utah Jazz,Minnesota Timberwolves,1583
Utah Jazz,New York Knicks,3162
Utah Jazz,Denver Nuggets,596
Utah Jazz,Golden State Warriors,950
Utah Jazz,Dallas Mavericks,1604
Utah Jazz,New Jersey Nets,3169
Utah Jazz,Charlotte Bobcats,2770
Utah Jazz,Memphis Grizzlies,2007
Utah Jazz,San Antonio Spurs,1747
Utah Jazz,New Orleans Hornets,2302
Utah Jazz,Oklahoma City Thunder,1384
Utah Jazz,Orlando Magic,3079
Utah Jazz,Washington Wizards,2960
Utah Jazz,Cleveland Cavaliers,2514
Utah Jazz,Boston Celtics,3365
Utah Jazz,Portland Trail Blazers,1020
Utah Jazz,Los Angeles Lakers,932
Utah Jazz,Sacramento Kings,855
Utah Jazz,Indiana Pacers,2175
Utah Jazz,Phoenix Suns,812
Utah Jazz,Houston Rockets,1927
Utah Jazz,Toronto Raptors,2673
Utah Jazz,Miami Heat,3354
Utah Jazz,Los Angeles Clippers,932
Utah Jazz,Atlanta Hawks,2540
Utah Jazz,Milwaukee Bucks,1992
Utah Jazz,Brooklyn Nets,3169
Utah Jazz,New Orleans Pelicans,2302
Utah Jazz,Charlotte Hornets,2770
Houston Rockets,Philadelphia 76ers,570
Houston Rockets,Detroit Pistons,1777
Houston Rockets,Chicago Bulls,1510
Houston Rockets,Minnesota Timberwolves,1700
Houston Rockets,New York Knicks,2278
Houston Rockets,Denver Nuggets,1412
Houston Rockets,Golden State Warriors,2628
Houston Rockets,Dallas Mavericks,362
Houston Rockets,New Jersey Nets,2279
Houston Rockets,Charlotte Bobcats,1487
Houston Rockets,Memphis Grizzlies,772
Houston Rockets,San Antonio Spurs,305
Houston Rockets,New Orleans Hornets,510
Houston Rockets,Oklahoma City Thunder,665
Houston Rockets,Orlando Magic,1362
Houston Rockets,Washington Wizards,1957
Houston Rockets,Cleveland Cavaliers,1790
Houston Rockets,Boston Celtics,2577
Houston Rockets,Portland Trail Blazers,2947
Houston Rockets,Los Angeles Lakers,2204
Houston Rockets,Sacramento Kings,2581
Houston Rockets,Indiana Pacers,1391
Houston Rockets,Phoenix Suns,1630
Houston Rockets,Utah Jazz,1927
Houston Rockets,Toronto Raptors,2092
Houston Rockets,Miami Heat,1554
Houston Rockets,Los Angeles Clippers,2204
Houston Rockets,Atlanta Hawks,1126
Houston Rockets,Milwaukee Bucks,1616
Houston Rockets,Brooklyn Nets,2279
Houston Rockets,New Orleans Pelicans,510
Houston Rockets,Charlotte Hornets,1487
Toronto Raptors,Philadelphia 76ers,574
Toronto Raptors,Detroit Pistons,332
Toronto Raptors,Chicago Bulls,702
Toronto Raptors,Minnesota Timberwolves,1108
Toronto Raptors,New York Knicks,555
Toronto Raptors,Denver Nuggets,2155
Toronto Raptors,Golden State Warriors,3623
Toronto Raptors,Dallas Mavericks,1935
Toronto Raptors,New Jersey Nets,563
Toronto Raptors,Charlotte Bobcats,949
Toronto Raptors,Memphis Grizzlies,1320
Toronto Raptors,San Antonio Spurs,2315
Toronto Raptors,New Orleans Hornets,1793
Toronto Raptors,Oklahoma City Thunder,1793
Toronto Raptors,Orlando Magic,1693
Toronto Raptors,Washington Wizards,569
Toronto Raptors,Cleveland Cavaliers,307
Toronto Raptors,Boston Celtics,694
Toronto Raptors,Portland Trail Blazers,3384
Toronto Raptors,Los Angeles Lakers,3487
Toronto Raptors,Sacramento Kings,3526
Toronto Raptors,Indiana Pacers,709
Toronto Raptors,Phoenix Suns,3031
Toronto Raptors,Utah Jazz,2673
Toronto Raptors,Houston Rockets,2092
Toronto Raptors,Miami Heat,1992
Toronto Raptors,Los Angeles Clippers,3487
Toronto Raptors,Atlanta Hawks,1185
Toronto Raptors,Milwaukee Bucks,689
Toronto Raptors,Brooklyn Nets,563
Toronto Raptors,New Orleans Pelicans,1793
Toronto Raptors,Charlotte Hornets,949
Miami Heat,Philadelphia 76ers,2081
Miami Heat,Detroit Pistons,1857
Miami Heat,Chicago Bulls,1911
Miami Heat,Minnesota Timberwolves,2432
Miami Heat,New York Knicks,1754
Miami Heat,Denver Nuggets,2771
Miami Heat,Golden State Warriors,4151
Miami Heat,Dallas Mavericks,1784
Miami Heat,New Jersey Nets,1750
Miami Heat,Charlotte Bobcats,1052
Miami Heat,Memphis Grizzlies,1399
Miami Heat,San Antonio Spurs,1844
Miami Heat,New Orleans Hornets,1075
Miami Heat,Oklahoma City Thunder,1970
Miami Heat,Orlando Magic,329
Miami Heat,Washington Wizards,1487
Miami Heat,Cleveland Cavaliers,1752
Miami Heat,Boston Celtics,2021
Miami Heat,Portland Trail Blazers,4347
Miami Heat,Los Angeles Lakers,3753
Miami Heat,Sacramento Kings,4094
Miami Heat,Indiana Pacers,1650
Miami Heat,Phoenix Suns,3180
Miami Heat,Utah Jazz,3354
Miami Heat,Houston Rockets,1554
Miami Heat,Toronto Raptors,1992
Miami Heat,Los Angeles Clippers,3753
Miami Heat,Atlanta Hawks,973
Miami Heat,Milwaukee Bucks,2041
Miami Heat,Brooklyn Nets,1750
Miami Heat,New Orleans Pelicans,1075
Miami Heat,Charlotte Hornets,1052
Los Angeles Clippers,Philadelphia 76ers,4006
Los Angeles Clippers,Detroit Pistons,3181
Los Angeles Clippers,Chicago Bulls,2798
Los Angeles Clippers,Minnesota Timberwolves,2445
Los Angeles Clippers,New York Knicks,3930
Los Angeles Clippers,Denver Nuggets,1334
Los Angeles Clippers,Golden State Warriors,552
Los Angeles Clippers,Dallas Mavericks,1988
Los Angeles Clippers,New Jersey Nets,3936
Los Angeles Clippers,Charlotte Bobcats,3399
Los Angeles Clippers,Memphis Grizzlies,2571
Los Angeles Clippers,San Antonio Spurs,1931
Los Angeles Clippers,New Orleans Hornets,2683
Los Angeles Clippers,Oklahoma City Thunder,1894
Los Angeles Clippers,Orlando Magic,3532
Los Angeles Clippers,Washington Wizards,3687
Los Angeles Clippers,Cleveland Cavaliers,3286
Los Angeles Clippers,Boston Celtics,4164
Los Angeles Clippers,Portland Trail Blazers,1328
Los Angeles Clippers,Sacramento Kings,581
Los Angeles Clippers,Indiana Pacers,2902
Los Angeles Clippers,Phoenix Suns,573
Los Angeles Clippers,Utah Jazz,932
Los Angeles Clippers,Houston Rockets,2204
Los Angeles Clippers,Toronto Raptors,3487
Los Angeles Clippers,Miami Heat,3753
Los Angeles Clippers,Atlanta Hawks,3106
Los Angeles Clippers,Milwaukee Bucks,2799
Los Angeles Clippers,Brooklyn Nets,3936
Los Angeles Clippers,New Orleans Pelicans,2683
Los Angeles Clippers,Charlotte Hornets,3399
Atlanta Hawks,Philadelphia 76ers,673
Atlanta Hawks,Detroit Pistons,960
Atlanta Hawks,Chicago Bulls,944
Atlanta Hawks,Minnesota Timberwolves,1459
Atlanta Hawks,New York Knicks,1199
Atlanta Hawks,Denver Nuggets,1944
Atlanta Hawks,Golden State Warriors,3419
Atlanta Hawks,Dallas Mavericks,1157
Atlanta Hawks,New Jersey Nets,1198
Atlanta Hawks,Charlotte Bobcats,364
Atlanta Hawks,Memphis Grizzlies,540
Atlanta Hawks,San Antonio Spurs,1417
Atlanta Hawks,New Orleans Hornets,682
Atlanta Hawks,Oklahoma City Thunder,1214
Atlanta Hawks,Orlando Magic,645
Atlanta Hawks,Washington Wizards,871
Atlanta Hawks,Cleveland Cavaliers,893
Atlanta Hawks,Boston Celtics,1504
Atlanta Hawks,Portland Trail Blazers,3486
Atlanta Hawks,Los Angeles Lakers,3106
Atlanta Hawks,Sacramento Kings,3346
Atlanta Hawks,Indiana Pacers,687
Atlanta Hawks,Phoenix Suns,2553
Atlanta Hawks,Utah Jazz,2540
Atlanta Hawks,Houston Rockets,1126
Atlanta Hawks,Toronto Raptors,1185
Atlanta Hawks,Miami Heat,973
Atlanta Hawks,Los Angeles Clippers,3106
Atlanta Hawks,Milwaukee Bucks,1076
Atlanta Hawks,Brooklyn Nets,1198
Atlanta Hawks,New Orleans Pelicans,682
Atlanta Hawks,Charlotte Hornets,364
Milwaukee Bucks,Philadelphia 76ers,988
Milwaukee Bucks,Detroit Pistons,404
Milwaukee Bucks,Chicago Bulls,134
Milwaukee Bucks,Minnesota Timberwolves,479
Milwaukee Bucks,New York Knicks,1176
Milwaukee Bucks,Denver Nuggets,1466
Milwaukee Bucks,Golden State Warriors,2941
Milwaukee Bucks,Dallas Mavericks,1378
Milwaukee Bucks,New Jersey Nets,1183
Milwaukee Bucks,Charlotte Bobcats,1059
Milwaukee Bucks,Memphis Grizzlies,902
Milwaukee Bucks,San Antonio Spurs,1781
Milwaukee Bucks,New Orleans Hornets,1466
Milwaukee Bucks,Oklahoma City Thunder,1177
Milwaukee Bucks,Orlando Magic,1713
Milwaukee Bucks,Washington Wizards,1020
Milwaukee Bucks,Cleveland Cavaliers,538
Milwaukee Bucks,Boston Celtics,1375
Milwaukee Bucks,Portland Trail Blazers,2756
Milwaukee Bucks,Los Angeles Lakers,2799
Milwaukee Bucks,Sacramento Kings,2846
Milwaukee Bucks,Indiana Pacers,391
Milwaukee Bucks,Phoenix Suns,2350
Milwaukee Bucks,Utah Jazz,1992
Milwaukee Bucks,Houston Rockets,1616
Milwaukee Bucks,Toronto Raptors,689
Milwaukee Bucks,Miami Heat,2041
Milwaukee Bucks,Los Angeles Clippers,2799
Milwaukee Bucks,Atlanta Hawks,1076
Milwaukee Bucks,Brooklyn Nets,1183
Milwaukee Bucks,New Orleans Pelicans,1466
Milwaukee Bucks,Charlotte Hornets,1059
Brooklyn Nets,Philadelphia 76ers,728
Brooklyn Nets,Detroit Pistons,779
Brooklyn Nets,Chicago Bulls,1150
Brooklyn Nets,Minnesota Timberwolves,1641
Brooklyn Nets,New York Knicks,9
Brooklyn Nets,Denver Nuggets,2621
Brooklyn Nets,Golden State Warriors,4116
Brooklyn Nets,Dallas Mavericks,2206
Brooklyn Nets,Charlotte Bobcats,852
Brooklyn Nets,Memphis Grizzlies,1538
Brooklyn Nets,San Antonio Spurs,2543
Brooklyn Nets,New Orleans Hornets,1878
Brooklyn Nets,Oklahoma City Thunder,2132
Brooklyn Nets,Orlando Magic,1505
Brooklyn Nets,Washington Wizards,328
Brooklyn Nets,Cleveland Cavaliers,655
Brooklyn Nets,Boston Celtics,306
Brooklyn Nets,Portland Trail Blazers,3927
Brooklyn Nets,Los Angeles Lakers,3936
Brooklyn Nets,Sacramento Kings,4024
Brooklyn Nets,Indiana Pacers,1039
Brooklyn Nets,Phoenix Suns,3444
Brooklyn Nets,Utah Jazz,3169
Brooklyn Nets,Houston Rockets,2279
Brooklyn Nets,Toronto Raptors,563
Brooklyn Nets,Miami Heat,1750
Brooklyn Nets,Los Angeles Clippers,3936
Brooklyn Nets,Atlanta Hawks,1198
Brooklyn Nets,Milwaukee Bucks,1183
Brooklyn Nets,New Orleans Pelicans,1878
Brooklyn Nets,Charlotte Hornets,852
New Orleans Pelicans,Philadelphia 76ers,2020
New Orleans Pelicans,Detroit Pistons,1511
New Orleans Pelicans,Chicago Bulls,1339
New Orleans Pelicans,Minnesota Timberwolves,1692
New Orleans Pelicans,New York Knicks,1878
New Orleans Pelicans,Denver Nuggets,1736
New Orleans Pelicans,Golden State Warriors,3076
New Orleans Pelicans,Dallas Mavericks,711
New Orleans Pelicans,New Jersey Nets,1878
New Orleans Pelicans,Charlotte Bobcats,1043
New Orleans Pelicans,Memphis Grizzlies,570
New Orleans Pelicans,San Antonio Spurs,814
New Orleans Pelicans,Oklahoma City Thunder,926
New Orleans Pelicans,Orlando Magic,857
New Orleans Pelicans,Washington Wizards,1550
New Orleans Pelicans,Cleveland Cavaliers,1486
New Orleans Pelicans,Boston Celtics,2183
New Orleans Pelicans,Portland Trail Blazers,3310
New Orleans Pelicans,Los Angeles Lakers,2683
New Orleans Pelicans,Sacramento Kings,3021
New Orleans Pelicans,Indiana Pacers,1146
New Orleans Pelicans,Phoenix Suns,2110
New Orleans Pelicans,Utah Jazz,2302
New Orleans Pelicans,Houston Rockets,510
New Orleans Pelicans,Toronto Raptors,1793
New Orleans Pelicans,Miami Heat,1075
New Orleans Pelicans,Los Angeles Clippers,2683
New Orleans Pelicans,Atlanta Hawks,682
New Orleans Pelicans,Milwaukee Bucks,1466
New Orleans Pelicans,Brooklyn Nets,1878
New Orleans Pelicans,Charlotte Hornets,1043
Charlotte Hornets,Philadelphia 76ers,1324
Charlotte Hornets,Detroit Pistons,812
Charlotte Hornets,Chicago Bulls,943
Charlotte Hornets,Minnesota Timberwolves,1509
Charlotte Hornets,New York Knicks,854
Charlotte Hornets,Denver Nuggets,2178
Charlotte Hornets,Golden State Warriors,3678
Charlotte Hornets,Dallas Mavericks,1493
Charlotte Hornets,New Jersey Nets,852
Charlotte Hornets,Memphis Grizzlies,836
Charlotte Hornets,San Antonio Spurs,1774
Charlotte Hornets,New Orleans Hornets,1043
Charlotte Hornets,Oklahoma City Thunder,1509
Charlotte Hornets,Orlando Magic,744
Charlotte Hornets,Washington Wizards,529
Charlotte Hornets,Cleveland Cavaliers,700
Charlotte Hornets,Boston Celtics,1158
Charlotte Hornets,Portland Trail Blazers,3672
Charlotte Hornets,Los Angeles Lakers,3399
Charlotte Hornets,Sacramento Kings,3599
Charlotte Hornets,Indiana Pacers,688
Charlotte Hornets,Phoenix Suns,2859
Charlotte Hornets,Utah Jazz,2770
Charlotte Hornets,Houston Rockets,1487
Charlotte Hornets,Toronto Raptors,949
Charlotte Hornets,Miami Heat,1052
Charlotte Hornets,Los Angeles Clippers,3399
Charlotte Hornets,Atlanta Hawks,364
Charlotte Hornets,Milwaukee Bucks,1059
Charlotte Hornets,Brooklyn Nets,852
Charlotte Hornets,New Orleans Pelicans,1043
