Date,LOCAL_Racha,LOCAL_Ultimos10VDerrotas,LOCAL_Ultimos10Victorias,Local,visitor_team,Opponent_Points,Points,Result,Season,Season_x,Season_y,local_team,VISITANTE_Racha,VISITANTE_Ultimos10VDerrotas,VISITANTE_Ultimos10Victorias,Year,Year_x,Year_y,boxcore_url,local_3pa_rate,local_Away_lose,local_Away_win,local_Cnf_lose,local_Cnf_win,local_Conf_position,local_Dif_leader,local_Div_lose,local_Div_win,local_Home_lose,local_Home_win,local_Icf_lose,local_Icf_win,local_Lose,local_Percentagewl,local_Win,local_ast,local_ast_pct,local_blk,local_blk_pct,local_def_rate,local_drb,local_drb_pct,local_effective_fg_pct,local_fg,local_fg3,local_fg3_pct,local_fg3a,local_fg_pct,local_fga,local_ft,local_ft_pct,local_fta,local_fta_rate,local_off_rate,local_orb,local_orb_pct,local_pf,local_pts,local_stl,local_stl_pct,local_tov,local_tov_pct,local_trb_pct,local_trn,local_true_shooting_pct,visitor_3pa_rate,visitor_Away_lose,visitor_Away_win,visitor_Cnf_lose,visitor_Cnf_win,visitor_Conf_position,visitor_Dif_leader,visitor_Div_lose,visitor_Div_win,visitor_Home_lose,visitor_Home_win,visitor_Icf_lose,visitor_Icf_win,visitor_Lose,visitor_Percentagewl,visitor_Win,visitor_ast,visitor_ast_pct,visitor_blk,visitor_blk_pct,visitor_def_rate,visitor_drb,visitor_drb_pct,visitor_effective_fg_pct,visitor_fg,visitor_fg3,visitor_fg3_pct,visitor_fg3a,visitor_fg_pct,visitor_fga,visitor_ft,visitor_ft_pct,visitor_fta,visitor_fta_rate,visitor_off_rate,visitor_orb,visitor_orb_pct,visitor_pf,visitor_pts,visitor_stl,visitor_stl_pct,visitor_tov,visitor_tov_pct,visitor_trb_pct,visitor_trn,visitor_true_shooting_pct
Oct 30,3,0.0,4.0,True,Minnesota Timberwolves,95,117,0,2020,2020,2020,Philadelphia 76ers,3,1.0,3.0,2019,2019,2019,/boxscores/201910300PHI.html,.272,0 ,2,0 ,3,1,0,0 ,1,0 ,1,0 ,0,0 ,1.0,3,24,55.8,6,13.0,89.4,40,87.0,.516,43,9,.360,25,.467,92,22,.786,28,.304,110.1,16,36.4,27,117,14,13.2,22,17.4,62.2,56,.561,0.432,0 ,2,0 ,0,16,0,0 ,0,0 ,1,0 ,3,0 ,1.0,3,12,37.5,6,9.0,110.1,28,63.6,0.457,32,10,0.286,35,0.395,81,21,0.750,28,0.346,89.4,6,13.0,21,95,13,12.2,21,18.4,37.8,34,0.509
Jan 17,1,6.0,4.0,True,Chicago Bulls,89,100,0,2020,2020,2020,Philadelphia 76ers,1,8.0,2.0,2020,2020,2020,/boxscores/202001170PHI.html,.354,14 ,7,9 ,18,6,10.5 ,2 ,7,2 ,19,7 ,8,16 ,0.6190476190476191,26,30,75.0,7,15.2,97.2,35,85.4,.543,40,9,.310,29,.488,82,11,1.000,11,.134,109.2,9,22.5,12,100,9,9.8,11,11.2,54.3,44,.576,0.432,13 ,7,17 ,11,9,21.5 ,6 ,4,14 ,8,10 ,4,27 ,0.35714285714285715,15,21,60.0,3,5.7,109.2,31,77.5,0.481,35,8,0.229,35,0.432,81,11,0.733,15,0.185,97.2,6,14.6,14,89,8,8.7,16,15.4,45.7,37,0.508
Feb 9,1,5.0,5.0,True,Chicago Bulls,111,118,0,2020,2020,2020,Philadelphia 76ers,-4,7.0,3.0,2020,2020,2020,/boxscores/202002090PHI.html,.321,19 ,9,14 ,21,5,13.5 ,4 ,9,2 ,23,7 ,11,21 ,0.6037735849056604,32,29,69.0,6,10.7,114.3,29,67.4,.565,42,11,.407,27,.500,84,23,.719,32,.381,121.5,15,34.9,18,118,12,12.4,16,14.0,51.2,44,.602,0.364,18 ,8,22 ,13,10,26.5 ,8 ,6,16 ,11,12 ,6,34 ,0.3584905660377358,19,23,53.5,3,5.3,121.5,28,65.1,0.557,43,12,0.375,32,0.489,88,13,0.765,17,0.193,114.3,14,32.6,24,111,8,8.2,18,15.9,48.8,42,0.581
Mar 11,-1,5.0,5.0,True,Detroit Pistons,106,124,0,2020,2020,2020,Philadelphia 76ers,-4,9.0,1.0,2020,2020,2020,/boxscores/202003110PHI.html,.398,24 ,10,16 ,25,6,14.5 ,4 ,11,2 ,28,10 ,13,26 ,0.59375,38,28,66.7,4,8.2,111.9,37,86.0,.590,42,14,.424,33,.506,83,26,.813,32,.386,130.9,13,33.3,18,124,7,7.4,13,11.8,61.0,50,.639,0.417,23 ,9,30 ,12,13,33.0 ,10 ,5,22 ,11,15 ,8,45 ,0.3076923076923077,20,25,64.1,3,6.0,130.9,26,66.7,0.530,39,11,0.314,35,0.464,84,17,0.680,25,0.298,111.9,6,14.0,24,106,10,10.6,8,7.8,39.0,32,0.558
Oct 26,-1,2.0,1.0,True,Philadelphia 76ers,117,111,1,2020,2020,2020,Detroit Pistons,1,0.0,2.0,2019,2019,2019,/boxscores/201910260DET.html,.250,0 ,1,1 ,1,10,0.5 ,0 ,1,1 ,0,0 ,0,1 ,0.5,1,20,48.8,7,13.2,105.7,30,83.3,.592,41,8,.421,19,.539,76,21,.583,36,.474,100.3,5,13.5,28,111,11,9.9,23,20.0,47.9,35,.604,0.391,0 ,0,0 ,1,1,0,0 ,1,0 ,1,0 ,0,0 ,1.0,1,30,71.4,3,5.3,100.3,32,86.5,0.557,42,13,0.382,34,0.483,87,20,0.667,30,0.345,105.7,6,16.7,26,117,14,12.7,22,18.0,52.1,38,0.584
Nov 11,-1,7.0,3.0,True,Minnesota Timberwolves,120,114,1,2020,2020,2020,Detroit Pistons,-1,4.0,6.0,2019,2019,2019,/boxscores/201911110DET.html,.368,4 ,1,6 ,4,9,4.0 ,2 ,2,2 ,3,0 ,0,6 ,0.4,4,25,64.1,5,9.1,120.3,27,71.1,.540,39,16,.500,32,.448,87,20,.800,25,.287,114.2,12,26.1,22,114,9,9.0,17,14.8,46.4,39,.582,0.382,2 ,3,2 ,1,23,2.0 ,1 ,0,2 ,2,2 ,4,4 ,0.5555555555555556,5,25,55.6,6,10.9,114.2,34,73.9,0.590,45,15,0.441,34,0.506,89,15,0.789,19,0.213,120.3,11,28.9,23,120,7,7.0,16,14.1,53.6,45,0.616
Dec 21,-3,6.0,4.0,True,Chicago Bulls,119,107,1,2020,2020,2020,Detroit Pistons,1,5.0,5.0,2019,2019,2019,/boxscores/201912210DET.html,.402,10 ,4,16 ,8,10,14.0 ,5 ,4,8 ,7,2 ,3,18 ,0.3793103448275862,11,30,75.0,4,9.5,123.6,23,67.6,.552,40,16,.457,35,.460,87,11,.917,12,.138,111.1,6,14.6,20,107,14,14.5,16,14.8,38.7,29,.580,0.455,9 ,5,12 ,7,11,14.5 ,4 ,2,10 ,6,7 ,4,19 ,0.36666666666666664,11,21,52.5,4,7.7,111.1,35,85.4,0.636,40,18,0.514,35,0.519,77,21,0.840,25,0.325,123.6,11,32.4,13,119,8,8.3,18,17.0,61.3,46,0.676
Dec 23,-4,7.0,3.0,True,Philadelphia 76ers,125,109,1,2020,2020,2020,Detroit Pistons,1,3.0,7.0,2019,2019,2019,/boxscores/201912230DET.html,.357,10 ,4,17 ,8,11,15.5 ,6 ,4,9 ,7,2 ,3,19 ,0.36666666666666664,11,27,62.8,1,1.5,132.0,24,58.5,.571,43,10,.333,30,.512,84,13,.722,18,.214,115.1,6,16.2,14,109,9,9.5,13,12.4,38.5,30,.593,0.316,8 ,6,5 ,14,5,6.0 ,2 ,5,2 ,15,5 ,7,10 ,0.6774193548387096,21,33,63.5,8,14.8,115.1,31,83.8,0.611,52,12,0.400,30,0.547,95,9,0.818,11,0.116,132.0,17,41.5,21,125,8,8.4,12,10.7,61.5,48,0.626
Jan 11,-1,7.0,3.0,True,Chicago Bulls,108,99,1,2020,2020,2020,Detroit Pistons,-6.0,7.0,3.0,2020,2020,2020,/boxscores/202001110DET.html,.359,14 ,6,19 ,10,10,19.5 ,7 ,5,11 ,8,6 ,4,25 ,0.358974358974359,14,22,61.1,4,8.3,115.4,30,76.9,.519,36,9,.321,28,.462,78,18,.667,27,.346,105.8,12,29.3,20,99,7,7.5,19,17.5,52.5,42,.551,0.422,12 ,6,16 ,9,12,20.5 ,6 ,3,14 ,7,10 ,4,26 ,0.3333333333333333,13,24,57.1,6,12.0,105.8,29,70.7,0.572,42,11,0.314,35,0.506,83,13,0.929,14,0.169,115.4,9,23.1,21,108,11,11.8,14,13.6,47.5,38,0.606
Nov 1,-3,4.0,2.0,True,Detroit Pistons,106,112,0,2020,2020,2020,Chicago Bulls,-1.0,4.0,2.0,2019,2019,2019,/boxscores/201911010CHI.html,.449,3 ,1,4 ,0,15,3.5 ,1 ,0,1 ,0,0 ,1,4 ,0.2,1,29,74.4,1,1.8,104.9,31,75.6,.528,39,16,.400,40,.438,89,18,.783,23,.258,110.9,11,22.9,18,112,6,5.9,17,14.6,47.2,42,.565,0.341,1 ,1,3 ,2,8,2.5 ,0 ,2,2 ,1,0 ,0,3 ,0.4,2,21,51.2,8,16.3,110.9,37,77.1,0.518,41,6,0.207,29,0.482,85,18,0.750,24,0.282,104.9,10,24.4,21,106,11,10.9,16,14.3,52.8,47,0.555
Nov 20,-3,6.0,4.0,True,Detroit Pistons,89,109,0,2020,2020,2020,Chicago Bulls,-4.0,8.0,2.0,2019,2019,2019,/boxscores/201911200CHI.html,.297,5 ,2,8 ,3,14,7.5 ,4 ,1,5 ,2,2 ,1,10 ,0.2857142857142857,4,25,64.1,7,14.0,89.1,43,78.2,.505,39,14,.519,27,.429,91,17,.654,26,.286,109.1,12,26.1,24,109,9,9.0,14,12.0,54.5,55,.532,0.398,6 ,1,8 ,4,11,7.0 ,2 ,2,3 ,3,1 ,0,9 ,0.3076923076923077,4,23,82.1,8,12.5,109.1,34,73.9,0.386,28,8,0.242,33,0.337,83,25,0.781,32,0.386,89.1,12,21.8,20,89,6,6.0,16,14.1,45.5,46,0.458
Jan 22,-1,6.0,4.0,True,Minnesota Timberwolves,110,117,0,2020,2020,2020,Chicago Bulls,-6.0,8.0,2.0,2020,2020,2020,/boxscores/202001220CHI.html,.357,15 ,7,19 ,12,10,23.0 ,7 ,5,14 ,9,10 ,4,29 ,0.35555555555555557,16,21,53.8,2,4.8,109.2,38,79.2,.518,39,9,.300,30,.464,84,30,.811,37,.440,116.1,12,26.7,22,117,9,8.9,12,10.7,53.8,50,.583,0.512,13 ,9,20 ,7,28,19.0 ,8 ,2,15 ,6,8 ,8,28 ,0.3488372093023256,15,27,65.9,3,5.6,116.1,33,73.3,0.564,41,15,0.341,44,0.477,86,13,0.542,24,0.279,109.2,10,20.8,25,110,7,6.9,18,15.7,46.2,43,0.570
Mar 4,1,7.0,3.0,True,Chicago Bulls,108,115,0,2020,2020,2020,Minnesota Timberwolves,1.0,8.0,2.0,2020,2020,2020,/boxscores/202003040MIN.html,.531,20 ,11,28 ,9,29,29.0 ,10 ,2,22 ,7,14 ,9,42 ,0.3,18,27,67.5,4,6.3,111.1,33,78.6,.611,40,19,.442,43,.494,81,16,.640,25,.309,118.3,10,24.4,15,115,5,5.1,17,15.6,51.8,43,.625,0.319,21 ,8,26 ,14,10,31.0 ,8 ,6,19 ,13,14 ,7,40 ,0.3442622950819672,21,24,53.3,5,13.2,118.3,31,75.6,0.537,45,11,0.367,30,0.479,94,7,0.636,11,0.117,111.1,9,21.4,19,108,10,10.3,10,9.2,48.2,40,0.546
