Team,Name,Season,AWS_MEAN
Houston Rockets,"Harden,James",2019,21.893258426966288
Cleveland Cavaliers,"James,LeBron",2018,21.0610576923077
Houston Rockets,"Harden,James",2020,20.818032786885247
Houston Rockets,"Harden,James",2018,19.59101123595506
Milwaukee Bucks,"Antetokounmpo,Giannis",2020,19.54473684210527
Milwaukee Bucks,"Antetokounmpo,Giannis",2019,19.359195402298848
New Orleans Pelicans,"Cousins,DeMarcus",2018,19.260416666666668
Los Angeles Lakers,"James,LeBron",2020,19.12666666666666
Atlanta Hawks,"Young,Trae",2020,19.12333333333333
Dallas Mavericks,"Dončić,Luka",2020,19.031481481481478
Oklahoma City Thunder,"Westbrook,Russell",2018,18.749999999999996
Los Angeles Lakers,"James,LeBron",2019,18.38
Minnesota Timberwolves,"Towns,Karl-Anthony",2020,17.80285714285714
Oklahoma City Thunder,"Westbrook,Russell",2019,17.50769230769231
Portland Trail Blazers,"Lillard,Damian",2020,17.14913793103448
Golden State Warriors,"Curry,Stephen",2018,17.059090909090912
New Orleans Pelicans,"Davis,Anthony",2018,17.02857142857143
New Orleans Pelicans,"Davis,Anthony",2019,17.024107142857144
Philadelphia 76ers,"Embiid,Joel",2019,16.862000000000002
Denver Nuggets,"Jokić,Nikola",2019,16.785638297872346
Minnesota Timberwolves,"Towns,Karl-Anthony",2019,16.706493506493512
Milwaukee Bucks,"Antetokounmpo,Giannis",2018,16.607926829268294
Houston Rockets,"Westbrook,Russell",2020,16.49528301886793
Los Angeles Lakers,"Davis,Anthony",2020,16.484545454545454
Golden State Warriors,"Durant,Kevin",2018,16.434831460674157
Golden State Warriors,"Curry,Stephen",2019,16.348901098901095
Detroit Pistons,"Drummond,Andre",2020,16.142857142857142
Golden State Warriors,"Durant,Kevin",2019,16.10277777777778
Washington Wizards,"Beal,Bradley",2020,16.02982456140351
Oklahoma City Thunder,"George,Paul",2019,15.99756097560975
Philadelphia 76ers,"Simmons,Ben",2020,15.987037037037041
Denver Nuggets,"Jokić,Nikola",2020,15.984615384615385
Toronto Raptors,"Leonard,Kawhi",2019,15.810119047619041
Los Angeles Clippers,"Leonard,Kawhi",2020,15.785294117647055
Brooklyn Nets,"Irving,Kyrie",2020,15.425000000000006
Phoenix Suns,"Booker,Devin",2020,15.370161290322585
Denver Nuggets,"Jokić,Nikola",2018,15.33
Portland Trail Blazers,"Lillard,Damian",2018,15.135714285714286
Phoenix Suns,"Booker,Devin",2019,15.092968750000006
Portland Trail Blazers,"Lillard,Damian",2019,15.091666666666667
Philadelphia 76ers,"Embiid,Joel",2020,15.003409090909093
Philadelphia 76ers,"Simmons,Ben",2019,14.92197802197802
Philadelphia 76ers,"Simmons,Ben",2018,14.887362637362637
Washington Wizards,"Wall,John",2018,14.767021276595747
Detroit Pistons,"Drummond,Andre",2018,14.680769230769227
New Orleans Pelicans,"Holiday,Jrue",2019,14.623134328358205
Detroit Pistons,"Griffin,Blake",2019,14.538961038961036
Philadelphia 76ers,"Embiid,Joel",2018,14.532394366197183
Boston Celtics,"Irving,Kyrie",2019,14.457236842105264
Miami Heat,"Adebayo,Bam",2020,14.355384615384615
Indiana Pacers,"Oladipo,Victor",2018,14.353048780487796
Washington Wizards,"Beal,Bradley",2019,14.34512195121951
Minnesota Timberwolves,"Russell,D'Angelo",2020,14.245833333333335
Washington Wizards,"Wall,John",2019,14.1515625
Minnesota Timberwolves,"Towns,Karl-Anthony",2018,14.147701149425284
Indiana Pacers,"Sabonis,Domantas",2020,14.140322580645162
Chicago Bulls,"LaVine,Zach",2020,14.075000000000005
Detroit Pistons,"Drummond,Andre",2019,14.046385542168673
Miami Heat,"Butler,Jimmy",2020,14.007407407407413
Dallas Mavericks,"Dončić,Luka",2019,14.002083333333335
Orlando Magic,"Vučević,Nikola",2019,13.821764705882355
New Orleans Pelicans,"Williamson,Zion",2020,13.726315789473684
Charlotte Hornets,"Walker,Kemba",2019,13.71951219512195
Cleveland Cavaliers,"Drummond,Andre",2020,13.71875
New Orleans Pelicans,"Ingram,Brandon",2020,13.709821428571425
Toronto Raptors,"Lowry,Kyle",2020,13.664423076923079
Portland Trail Blazers,"Whiteside,Hassan",2020,13.655737704918037
Atlanta Hawks,"Collins,John",2020,13.568292682926831
Houston Rockets,"Paul,Chris",2018,13.548630136986306
Utah Jazz,"Gobert,Rudy",2019,13.445930232558144
Los Angeles Clippers,"Griffin,Blake",2018,13.437878787878788
Boston Celtics,"Irving,Kyrie",2018,13.425833333333335
Utah Jazz,"Gobert,Rudy",2020,13.357258064516127
Atlanta Hawks,"Young,Trae",2019,13.282098765432101
New Orleans Pelicans,"Holiday,Jrue",2020,13.228181818181822
Minnesota Timberwolves,"Butler,Jimmy",2018,13.09296875
Chicago Bulls,"LaVine,Zach",2019,13.08174603174603
Minnesota Timberwolves,"Butler,Jimmy",2019,12.985
Memphis Grizzlies,"Brooks,MarShon",2018,12.964285714285717
Houston Rockets,"Paul,Chris",2019,12.923913043478258
New Orleans Pelicans,"Randle,Julius",2019,12.82945205479452
Golden State Warriors,"Green,Draymond",2018,12.789560439560443
Phoenix Suns,"Booker,Devin",2018,12.72777777777778
New Orleans Pelicans,"Holiday,Jrue",2018,12.677777777777777
Oklahoma City Thunder,"George,Paul",2018,12.670588235294115
Toronto Raptors,"Lowry,Kyle",2018,12.626136363636368
Los Angeles Clippers,"Williams,Lou",2018,12.585443037974686
Charlotte Hornets,"Walker,Kemba",2018,12.253125
Washington Wizards,"Beal,Bradley",2018,12.211363636363636
Milwaukee Bucks,"Bledsoe,Eric",2018,12.06923076923077
